t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
135,11000000,120f71ff,13dc677f,1486a57d,1575c5c9,1ad9987d,1b000000,,1d000000,,
136,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
137,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
138,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
139,c2f19b88,4317b2bf,03000040,03000060,160000a0,02000080,c2440030,,6233ed5f,,
140,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
141,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
142,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
143,387a3e51,7c49f657,00000068,0000006c,02000074,000000d0,4ca9ff45,,68a6fd4b,,
144,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
145,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
146,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
147,456d0020,d08f4060,4414a469,04b4e85f,2c1169a0,04000000,04d8f35f,,844383be,,
148,f7243cae,f3265250,db2952e7,f32a5ea7,003400f7,00360000,003a0000,,00600100,,
149,0000001a,0000001b,0000001d,000000b0,98040011,2c6a7f12,45a87d13,,4828ae14,,
150,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
151,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
152,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
153,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
154,11000000,1241b57f,133914f8,148325f6,15de3f80,1a516cf8,1b000000,,1d000000,,
155,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
156,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
157,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
158,612ffb47,811c0158,010000a0,010000b0,0b0000d0,01000000,71efff17,,3199a32f,,
159,04200000,5f040000,be0420fa,fe04cff2,1185cc83,7e85dd34,80862a81,,c0060000,,
160,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
161,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
162,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
163,8c42fe51,24470056,00000068,0000006c,02000074,000000c0,2c8fff45,,ece0e84b,,
164,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
165,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
166,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
167,00f3fea3,f81108ac,000000d0,000000d8,050000e8,00000080,5055028c,,40efd197,,
168,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
169,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
170,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
171,c526da1f,06934060,06000080,070000c0,2c000040,04000000,042ade5f,,84d9d9bf,,
172,20000100,fe220000,fe2542f9,fb27a8ce,a228ee52,fb2b3044,00347420,,00360000,,
173,7d0951c4,47f65758,00006830,00006c00,10007400,0040c002,dcff4500,,a7fd4bc0,,
174,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
